APOE3_Normal_names,APOE3_Normal_pvals,APOE3_Normal_logfoldchanges,APOE4_HighRisk_names,APOE4_HighRisk_pvals,APOE4_HighRisk_logfoldchanges
CHRM3-AS2,0.0,-0.006754538,AC090796.1,0.0,0.035436817
PCK1,0.0,-0.068362944,AC243829.2,0.0,-0.046020456
CD28,0.0,-0.045381993,RTKN2,0.0,0.09398584
FCMR,0.0,-0.04051589,TNNI2,0.0,-0.034881435
JAML,0.0,-0.027134066,TRBC2,0.0,0.055270128
TRGC1,0.0,0.008256491,ZBP1,0.0,0.037557393
LY9,0.0,-0.062702924,LINC02133,0.0,-0.0052563166
IGFBP3,0.0,-0.029248245,IL1RAPL2,0.0,-0.06786366
LINC00607,0.0,0.121731676,LINC02795,0.0,-0.05449186
AP000676.5,0.0,0.085607015,ZAP70,0.0,-0.04656235
ASGR2,0.0,-0.0145869525,AF131215.5,0.0,-0.05779576
CFB,0.0,-0.01124758,PTGDR,0.0,0.008950144
RIPK3,0.0,0.13259669,ANXA2R,0.0,0.000599469
RNF165,0.0,-0.015402901,AC006369.1,0.0,0.078952625
SULT1B1,0.0,0.0907115,IGHA1,0.0,-0.2881193
FLT3,0.0,0.054014463,AL117327.1,0.0,0.06097696
LINC01664,0.0,0.07407947,SMIM25,0.0,0.014990317
AC010896.1,0.0,0.068409786,LINC01208,0.0,-0.087140426
AC092640.1,0.0,0.11701264,ADH1B,0.0,0.12779588
GOLGA6L4,0.0,-0.06299808,LINC00326,0.0,-0.11223034
SV2C,0.0,0.018841494,EFCC1,0.0,-0.00092382217
LZTS1-AS1,0.0,0.101227224,LCK,0.0,0.0068174493
AC015631.1,0.0,0.061700862,NKILA,0.0,0.05429651
ITPRIPL1,0.0,0.17697017,PRKG2,0.0,0.045313224
CNR1,0.0,0.13813831,TESPA1,0.0,0.07990075
MACC1,0.0,0.06820177,MYOCD,0.0,0.104689926
FAM110D,0.0,0.08897757,ELMO3,0.0,0.08037943
RFLNB,0.0,0.06595212,EBF2,0.0,0.17177165
IFNG-AS1,0.0,0.12474391,AC013265.1,0.0,-0.01517845
TLL1,0.0,0.12794858,NTRK1,0.0,0.18481466
SPTBN5,0.0,0.18243904,AC093912.1,0.0,0.1178118
TBC1D10C,0.0,0.06179599,GZMB,0.0,0.19221203
SIRPD,0.0,0.18208121,AC017028.1,0.0,-0.015519786
RAB27B,0.0,0.17620459,MARCO,0.0,0.24313839
PHACTR2-AS1,0.0,0.25221008,DPP4,0.0,0.03082169
CENPF,0.0,0.23926982,DKK2,0.0,0.1513731
LINC01033,0.0,0.1400199,PTGS2,0.0,0.0899883
AC108134.3,0.0,0.19520506,IGFBP6,0.0,0.22767723
ZNF468,0.0,0.09981665,NGF,0.0,0.19395366
PKHD1L1,0.0,0.06757098,IL32,0.0,0.0029735044
FOXC2,0.0,0.1868004,LINC00954,0.0,0.06058789
SHCBP1,0.0,0.09554987,F2R,0.0,0.19330482
